Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Delete:      03704D6 Dilate R Int Mamm Art, Bifurc, w Intralum Dev, Perc Endo     Dilation of Right Internal Mammary Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      03704E6 Dilate R Int Mamm Art, Bifurc, w 2 Intralum Dev, Perc Endo   Dilation of Right Internal Mammary Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03704F6 Dilate R Int Mamm Art, Bifurc, w 3 Intralum Dev, Perc Endo   Dilation of Right Internal Mammary Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03704G6 Dilate R Int Mamm Art, Bifurc, w 4+ Intralum Dev, Perc Endo  Dilation of Right Internal Mammary Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03704Z6 Dilation of R Int Mamm Art, Bifurc, Perc Endo Approach       Dilation of Right Internal Mammary Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      0371046 Dilate L Int Mamm Art, Bifurc, w Drug-elut Intra, Open       Dilation of Left Internal Mammary Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      0371056 Dilate L Int Mamm Art, Bifurc, w 2 Drug-elut, Open           Dilation of Left Internal Mammary Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      0371066 Dilate L Int Mamm Art, Bifurc, w 3 Drug-elut, Open           Dilation of Left Internal Mammary Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      0371076 Dilate L Int Mamm Art, Bifurc, w 4 Drug-elut, Open           Dilation of Left Internal Mammary Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      03710D6 Dilate L Int Mamm Art, Bifurc, w Intralum Dev, Open          Dilation of Left Internal Mammary Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      03710E6 Dilate L Int Mamm Art, Bifurc, w 2 Intralum Dev, Open        Dilation of Left Internal Mammary Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      03710F6 Dilate L Int Mamm Art, Bifurc, w 3 Intralum Dev, Open        Dilation of Left Internal Mammary Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      03710G6 Dilate L Int Mamm Art, Bifurc, w 4+ Intralum Dev, Open       Dilation of Left Internal Mammary Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      03710Z6 Dilation of L Int Mamm Art, Bifurc, Open Approach            Dilation of Left Internal Mammary Artery, Bifurcation, Open Approach
Delete:      0371346 Dilate L Int Mamm Art, Bifurc, w Drug-elut Intra, Perc       Dilation of Left Internal Mammary Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      0371356 Dilate L Int Mamm Art, Bifurc, w 2 Drug-elut, Perc           Dilation of Left Internal Mammary Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0371366 Dilate L Int Mamm Art, Bifurc, w 3 Drug-elut, Perc           Dilation of Left Internal Mammary Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0371376 Dilate L Int Mamm Art, Bifurc, w 4 Drug-elut, Perc           Dilation of Left Internal Mammary Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      03713D6 Dilate L Int Mamm Art, Bifurc, w Intralum Dev, Perc          Dilation of Left Internal Mammary Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      03713E6 Dilate L Int Mamm Art, Bifurc, w 2 Intralum Dev, Perc        Dilation of Left Internal Mammary Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      03713F6 Dilate L Int Mamm Art, Bifurc, w 3 Intralum Dev, Perc        Dilation of Left Internal Mammary Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      03713G6 Dilate L Int Mamm Art, Bifurc, w 4+ Intralum Dev, Perc       Dilation of Left Internal Mammary Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      03713Z6 Dilation of L Int Mamm Art, Bifurc, Perc Approach            Dilation of Left Internal Mammary Artery, Bifurcation, Percutaneous Approach
Delete:      0371446 Dilate L Int Mamm Art, Bifurc, w Drug-elut Intra, Perc Endo  Dilation of Left Internal Mammary Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      0371456 Dilate L Int Mamm Art, Bifurc, w 2 Drug-elut, Perc Endo      Dilation of Left Internal Mammary Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      0371466 Dilate L Int Mamm Art, Bifurc, w 3 Drug-elut, Perc Endo      Dilation of Left Internal Mammary Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      0371476 Dilate L Int Mamm Art, Bifurc, w 4 Drug-elut, Perc Endo      Dilation of Left Internal Mammary Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03714D6 Dilate L Int Mamm Art, Bifurc, w Intralum Dev, Perc Endo     Dilation of Left Internal Mammary Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      03714E6 Dilate L Int Mamm Art, Bifurc, w 2 Intralum Dev, Perc Endo   Dilation of Left Internal Mammary Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03714F6 Dilate L Int Mamm Art, Bifurc, w 3 Intralum Dev, Perc Endo   Dilation of Left Internal Mammary Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03714G6 Dilate L Int Mamm Art, Bifurc, w 4+ Intralum Dev, Perc Endo  Dilation of Left Internal Mammary Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03714Z6 Dilation of L Int Mamm Art, Bifurc, Perc Endo Approach       Dilation of Left Internal Mammary Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      0372046 Dilate Innom Art, Bifurc, w Drug-elut Intra, Open            Dilation of Innominate Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      0372056 Dilate of Innom Art, Bifurc, with 2 Drug-elut, Open Approach Dilation of Innominate Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      0372066 Dilate of Innom Art, Bifurc, with 3 Drug-elut, Open Approach Dilation of Innominate Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      0372076 Dilate of Innom Art, Bifurc, with 4 Drug-elut, Open Approach Dilation of Innominate Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      03720D6 Dilate Innom Art, Bifurc, w Intralum Dev, Open               Dilation of Innominate Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      03720E6 Dilate Innom Art, Bifurc, w 2 Intralum Dev, Open             Dilation of Innominate Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      03720F6 Dilate Innom Art, Bifurc, w 3 Intralum Dev, Open             Dilation of Innominate Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      03720G6 Dilate Innom Art, Bifurc, w 4+ Intralum Dev, Open            Dilation of Innominate Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      03720Z6 Dilation of Innominate Artery, Bifurcation, Open Approach    Dilation of Innominate Artery, Bifurcation, Open Approach
Delete:      0372346 Dilate Innom Art, Bifurc, w Drug-elut Intra, Perc            Dilation of Innominate Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      0372356 Dilate of Innom Art, Bifurc, with 2 Drug-elut, Perc Approach Dilation of Innominate Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0372366 Dilate of Innom Art, Bifurc, with 3 Drug-elut, Perc Approach Dilation of Innominate Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0372376 Dilate of Innom Art, Bifurc, with 4 Drug-elut, Perc Approach Dilation of Innominate Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      03723D6 Dilate Innom Art, Bifurc, w Intralum Dev, Perc               Dilation of Innominate Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      03723E6 Dilate Innom Art, Bifurc, w 2 Intralum Dev, Perc             Dilation of Innominate Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      03723F6 Dilate Innom Art, Bifurc, w 3 Intralum Dev, Perc             Dilation of Innominate Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      03723G6 Dilate Innom Art, Bifurc, w 4+ Intralum Dev, Perc            Dilation of Innominate Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      03723Z6 Dilation of Innominate Artery, Bifurcation, Perc Approach    Dilation of Innominate Artery, Bifurcation, Percutaneous Approach
Delete:      0372446 Dilate Innom Art, Bifurc, w Drug-elut Intra, Perc Endo       Dilation of Innominate Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      0372456 Dilate Innom Art, Bifurc, w 2 Drug-elut, Perc Endo           Dilation of Innominate Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      0372466 Dilate Innom Art, Bifurc, w 3 Drug-elut, Perc Endo           Dilation of Innominate Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      0372476 Dilate Innom Art, Bifurc, w 4 Drug-elut, Perc Endo           Dilation of Innominate Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03724D6 Dilate Innom Art, Bifurc, w Intralum Dev, Perc Endo          Dilation of Innominate Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      03724E6 Dilate Innom Art, Bifurc, w 2 Intralum Dev, Perc Endo        Dilation of Innominate Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03724F6 Dilate Innom Art, Bifurc, w 3 Intralum Dev, Perc Endo        Dilation of Innominate Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03724G6 Dilate Innom Art, Bifurc, w 4+ Intralum Dev, Perc Endo       Dilation of Innominate Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      03724Z6 Dilation of Innominate Artery, Bifurc, Perc Endo Approach    Dilation of Innominate Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      0373046 Dilate R Subclav Art, Bifurc, w Drug-elut Intra, Open        Dilation of Right Subclavian Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      0373056 Dilate R Subclav Art, Bifurc, w 2 Drug-elut, Open            Dilation of Right Subclavian Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      0373066 Dilate R Subclav Art, Bifurc, w 3 Drug-elut, Open            Dilation of Right Subclavian Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      0373076 Dilate R Subclav Art, Bifurc, w 4 Drug-elut, Open            Dilation of Right Subclavian Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      03730D6 Dilate R Subclav Art, Bifurc, w Intralum Dev, Open           Dilation of Right Subclavian Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      03730E6 Dilate R Subclav Art, Bifurc, w 2 Intralum Dev, Open         Dilation of Right Subclavian Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      03730F6 Dilate R Subclav Art, Bifurc, w 3 Intralum Dev, Open         Dilation of Right Subclavian Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      03730G6 Dilate R Subclav Art, Bifurc, w 4+ Intralum Dev, Open        Dilation of Right Subclavian Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      03730Z6 Dilation of Right Subclavian Artery, Bifurc, Open Approach   Dilation of Right Subclavian Artery, Bifurcation, Open Approach
Delete:      0373346 Dilate R Subclav Art, Bifurc, w Drug-elut Intra, Perc        Dilation of Right Subclavian Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      0373356 Dilate R Subclav Art, Bifurc, w 2 Drug-elut, Perc            Dilation of Right Subclavian Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0373366 Dilate R Subclav Art, Bifurc, w 3 Drug-elut, Perc            Dilation of Right Subclavian Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0373376 Dilate R Subclav Art, Bifurc, w 4 Drug-elut, Perc            Dilation of Right Subclavian Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      03733D6 Dilate R Subclav Art, Bifurc, w Intralum Dev, Perc           Dilation of Right Subclavian Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      03733E6 Dilate R Subclav Art, Bifurc, w 2 Intralum Dev, Perc         Dilation of Right Subclavian Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      03733F6 Dilate R Subclav Art, Bifurc, w 3 Intralum Dev, Perc         Dilation of Right Subclavian Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      03733G6 Dilate R Subclav Art, Bifurc, w 4+ Intralum Dev, Perc        Dilation of Right Subclavian Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      03733Z6 Dilation of Right Subclavian Artery, Bifurc, Perc Approach   Dilation of Right Subclavian Artery, Bifurcation, Percutaneous Approach
Delete:      0373446 Dilate R Subclav Art, Bifurc, w Drug-elut Intra, Perc Endo   Dilation of Right Subclavian Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      0373456 Dilate R Subclav Art, Bifurc, w 2 Drug-elut, Perc Endo       Dilation of Right Subclavian Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      0373466 Dilate R Subclav Art, Bifurc, w 3 Drug-elut, Perc Endo       Dilation of Right Subclavian Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
